Mineral,Abundance (%)
Calcite,14.861304408807218
Nontronite,14.849286168040646
Alunite,14.66023894476538
Montmorillonite,13.061005066300629
Hematite,10.689755921702062
Opal,10.352112341169658
Kieserite,9.048247290449648
Jarosite,3.11630170040468
Magnetite,2.1091049379219604
Augite,1.8110626371353078
Gypsum,1.6022675912136761
Olivine,1.4835275273292874
Enstatite,1.1778927323805677
Kaolinite,1.1778927323792856
