line,sample,mineral,confidence,source,wavelength
0,3,Sulfates,0.8632252325109893,SVM_ML,0.3750377358490566
0,4,Sulfates,0.8338815126619643,SVM_ML,0.3750377358490566
0,5,Sulfates,0.9237882933434285,Physics_Rules,0.4337075471698113
0,6,Sulfates,0.8508427766828849,SVM_ML,0.3750377358490566
0,7,Sulfates,0.8539914347513488,SVM_ML,0.3750377358490566
0,8,Sulfates,0.859024682273014,SVM_ML,0.3750377358490566
0,9,Sulfates,0.8720348608890726,SVM_ML,0.3750377358490566
0,10,Sulfates,0.857072769614967,SVM_ML,0.3750377358490566
0,11,Sulfates,0.8917318996382835,SVM_ML,0.3750377358490566
0,12,Sulfates,0.8382987637663168,SVM_ML,0.3750377358490566
0,13,Sulfates,0.892051646028437,SVM_ML,0.3750377358490566
0,14,Sulfates,0.8869709304600892,SVM_ML,0.3750377358490566
0,15,Sulfates,0.8635881724557742,SVM_ML,0.3750377358490566
0,16,Sulfates,0.8905497093718474,SVM_ML,0.3750377358490566
0,17,Sulfates,0.8918651937267453,SVM_ML,0.3750377358490566
0,18,Sulfates,0.8808829111669864,SVM_ML,0.3750377358490566
0,19,Sulfates,0.8838542314139649,SVM_ML,0.3750377358490566
0,20,Sulfates,0.8915019358542944,SVM_ML,0.3750377358490566
0,21,Sulfates,0.8733687837164448,SVM_ML,0.3750377358490566
0,22,Sulfates,1.0258067468556868,Physics_Rules,0.4337075471698113
0,23,Sulfates,0.8791697118614558,SVM_ML,0.3750377358490566
0,24,Sulfates,0.8645905943483263,SVM_ML,0.3750377358490566
0,25,Sulfates,0.8832433199379368,SVM_ML,0.3750377358490566
0,26,Sulfates,0.871426649649991,SVM_ML,0.3750377358490566
0,27,Sulfates,1.0287257257008853,Physics_Rules,0.4337075471698113
0,28,Sulfates,0.8914932152815122,SVM_ML,0.3750377358490566
0,29,Sulfates,0.9685312337677454,Physics_Rules,0.4337075471698113
0,30,Sulfates,0.884132548877076,SVM_ML,0.3750377358490566
0,31,Sulfates,0.8765868127952784,SVM_ML,0.3750377358490566
0,32,Sulfates,1.0136634884145517,Physics_Rules,0.4337075471698113
0,33,Sulfates,1.0030141921450753,Physics_Rules,0.4337075471698113
0,34,Sulfates,0.8669466199205617,SVM_ML,0.3750377358490566
0,35,Sulfates,0.8732593064508509,SVM_ML,0.3750377358490566
0,36,Sulfates,0.8745802591794375,SVM_ML,0.3750377358490566
0,37,Sulfates,0.8799247555849218,SVM_ML,0.3750377358490566
0,38,Sulfates,0.9943353797161704,Physics_Rules,0.4337075471698113
0,39,Sulfates,0.8849396920649578,SVM_ML,0.3750377358490566
0,40,Sulfates,0.8810347777357115,SVM_ML,0.3750377358490566
0,41,Sulfates,0.8806472983622221,SVM_ML,0.3750377358490566
0,42,Sulfates,0.8899606290398518,SVM_ML,0.3750377358490566
0,43,Sulfates,1.014353811459059,Physics_Rules,0.4337075471698113
0,44,Sulfates,0.8680466412306188,SVM_ML,0.3750377358490566
0,45,Sulfates,0.9242157374837595,Physics_Rules,0.4337075471698113
0,46,Sulfates,0.890427011178692,SVM_ML,0.3750377358490566
0,47,Sulfates,0.8799966824949641,SVM_ML,0.3750377358490566
0,48,Sulfates,0.8749596122186967,SVM_ML,0.3750377358490566
0,49,Sulfates,0.8629792664760098,SVM_ML,0.3750377358490566
0,50,Sulfates,0.880605384043083,SVM_ML,0.3750377358490566
0,51,Sulfates,0.8249961557312331,SVM_ML,0.3750377358490566
0,52,Sulfates,0.8471178689949174,SVM_ML,0.3750377358490566
0,53,Sulfates,0.6599923363246107,SVM_ML,0.3750377358490566
0,54,Sulfates,0.7537313811375983,SVM_ML,0.3750377358490566
0,55,Sulfates,0.8832640551717929,Physics_Rules,0.4337075471698113
0,56,Sulfates,0.8505885853536417,SVM_ML,0.3750377358490566
0,57,Sulfates,0.886967495887821,SVM_ML,0.3750377358490566
0,58,Sulfates,0.8074813786169438,SVM_ML,0.3750377358490566
0,59,Sulfates,0.8884575361069947,SVM_ML,0.3750377358490566
0,60,Sulfates,0.7571962193518301,SVM_ML,0.3750377358490566
0,61,Mixed,0.5839379500193489,Ambiguous,0.3750377358490566
1,3,Sulfates,0.8345172248860501,SVM_ML,0.3750377358490566
1,4,Sulfates,0.8209669589426449,SVM_ML,0.3750377358490566
1,5,Sulfates,0.8714685285537824,Physics_Rules,0.4337075471698113
1,6,Sulfates,0.845355484224653,SVM_ML,0.3750377358490566
1,7,Sulfates,0.8511042724757939,SVM_ML,0.3750377358490566
1,8,Sulfates,0.8919233770121472,SVM_ML,0.3750377358490566
1,9,Sulfates,0.8771307934295512,SVM_ML,0.3750377358490566
1,10,Sulfates,0.8915353490394259,SVM_ML,0.3750377358490566
1,11,Sulfates,0.8920448669621066,SVM_ML,0.3750377358490566
1,12,Sulfates,0.8120973475315627,SVM_ML,0.3750377358490566
1,13,Sulfates,0.8501508764742798,SVM_ML,0.3750377358490566
1,14,Sulfates,0.8850619416940713,SVM_ML,0.3750377358490566
1,15,Sulfates,0.853763180896415,SVM_ML,0.3750377358490566
1,16,Sulfates,0.8865821053251624,SVM_ML,0.3750377358490566
1,17,Sulfates,0.8914618901718792,SVM_ML,0.3750377358490566
1,18,Sulfates,0.8917702901191286,SVM_ML,0.3750377358490566
1,19,Sulfates,0.876962736834374,SVM_ML,0.3750377358490566
1,20,Sulfates,0.8842461536781044,SVM_ML,0.3750377358490566
1,21,Sulfates,0.8879106523844215,SVM_ML,0.3750377358490566
1,22,Sulfates,0.8784626347819059,SVM_ML,0.3750377358490566
1,23,Sulfates,0.8899593650362357,SVM_ML,0.3750377358490566
1,24,Sulfates,0.8889395830176214,SVM_ML,0.3750377358490566
1,25,Sulfates,0.8724702404222301,SVM_ML,0.3750377358490566
1,26,Sulfates,1.0453747864751701,Physics_Rules,0.4337075471698113
1,27,Sulfates,1.0029156020107766,Physics_Rules,0.4337075471698113
1,28,Sulfates,0.8863971778767497,SVM_ML,0.3750377358490566
1,29,Sulfates,0.8833970942781152,SVM_ML,0.3750377358490566
1,30,Sulfates,0.8702391508145776,SVM_ML,0.3750377358490566
1,31,Sulfates,1.014238925752537,Physics_Rules,0.4337075471698113
1,32,Sulfates,0.8693015511572939,SVM_ML,0.3750377358490566
1,33,Sulfates,1.0464672970647624,Physics_Rules,0.4337075471698113
1,34,Sulfates,0.8834945429548856,SVM_ML,0.3750377358490566
1,35,Sulfates,0.8910312410408048,SVM_ML,0.3750377358490566
1,36,Sulfates,0.9955835089791563,Physics_Rules,0.4337075471698113
1,37,Sulfates,1.0275964926590353,Physics_Rules,0.4337075471698113
1,38,Sulfates,0.8919096473875043,SVM_ML,0.3750377358490566
1,39,Sulfates,0.8610229643299113,SVM_ML,0.3750377358490566
1,40,Sulfates,0.8919449009632466,SVM_ML,0.3750377358490566
1,41,Sulfates,0.8699304492930304,SVM_ML,0.3750377358490566
1,42,Sulfates,0.8916565824499695,SVM_ML,0.3750377358490566
1,43,Sulfates,1.0104571436687142,Physics_Rules,0.4337075471698113
1,44,Sulfates,0.8092410728841846,SVM_ML,0.3750377358490566
1,45,Sulfates,0.8342509101604901,SVM_ML,0.3750377358490566
1,46,Sulfates,0.8780564402127498,SVM_ML,0.3750377358490566
1,47,Sulfates,0.8591500264526861,SVM_ML,0.3750377358490566
1,48,Sulfates,0.9120428138508208,Physics_Rules,0.4337075471698113
1,49,Sulfates,0.8380877238982908,SVM_ML,0.3750377358490566
1,50,Sulfates,0.8614269410274658,SVM_ML,0.3750377358490566
1,51,Sulfates,0.8892547240139069,SVM_ML,0.3750377358490566
1,52,Sulfates,0.7730984859588447,SVM_ML,0.3750377358490566
1,53,Sulfates,0.8310414186687513,SVM_ML,0.3750377358490566
1,54,Sulfates,0.8641120420243278,SVM_ML,0.3750377358490566
1,55,Sulfates,0.8673062017879869,SVM_ML,0.3750377358490566
1,56,Sulfates,0.821614421835973,SVM_ML,0.3750377358490566
1,57,Sulfates,0.8685322221595192,SVM_ML,0.3750377358490566
1,58,Sulfates,0.72985875854715,SVM_ML,0.3750377358490566
1,59,Sulfates,0.841716091157602,SVM_ML,0.3750377358490566
1,60,Sulfates,0.6708549632628246,SVM_ML,0.3750377358490566
1,61,Sulfates,0.8126418797323283,SVM_ML,0.3750377358490566
2,3,Sulfates,0.8442072581363939,SVM_ML,0.3750377358490566
2,4,Sulfates,0.9777797682906904,Physics_Rules,0.4337075471698113
2,5,Sulfates,0.8686724856406149,SVM_ML,0.3750377358490566
2,6,Sulfates,0.8146939421335293,SVM_ML,0.3750377358490566
2,7,Sulfates,0.8916287268862806,SVM_ML,0.3750377358490566
2,8,Sulfates,0.8920185775641987,SVM_ML,0.3750377358490566
2,9,Sulfates,0.8688618168841724,SVM_ML,0.3750377358490566
2,10,Sulfates,0.8895308985964046,SVM_ML,0.3750377358490566
2,11,Sulfates,0.89148036510922,SVM_ML,0.3750377358490566
2,12,Sulfates,0.8835411878408255,SVM_ML,0.3750377358490566
2,13,Sulfates,0.8894944662207862,SVM_ML,0.3750377358490566
2,14,Sulfates,0.8867872752555052,SVM_ML,0.3750377358490566
2,15,Sulfates,0.8920419174122676,SVM_ML,0.3750377358490566
2,16,Sulfates,0.8891953989639684,SVM_ML,0.3750377358490566
2,17,Sulfates,0.891731825553855,SVM_ML,0.3750377358490566
2,18,Sulfates,0.8920224929454014,SVM_ML,0.3750377358490566
2,19,Sulfates,0.8918923063054487,SVM_ML,0.3750377358490566
2,20,Sulfates,0.8880438856124119,SVM_ML,0.3750377358490566
2,21,Sulfates,0.8892496072199668,SVM_ML,0.3750377358490566
2,22,Sulfates,0.8910813186998588,SVM_ML,0.3750377358490566
2,23,Sulfates,0.8918740493999416,SVM_ML,0.3750377358490566
2,24,Sulfates,0.8918796138599371,SVM_ML,0.3750377358490566
2,25,Sulfates,0.8909857468288997,SVM_ML,0.3750377358490566
2,26,Sulfates,0.8887954612555393,SVM_ML,0.3750377358490566
2,27,Sulfates,1.020995088840932,Physics_Rules,0.4337075471698113
2,28,Sulfates,0.8844831675265038,SVM_ML,0.3750377358490566
2,29,Sulfates,0.8819561827524275,SVM_ML,0.3750377358490566
2,30,Sulfates,1.0422691248478344,Physics_Rules,0.4337075471698113
2,31,Sulfates,0.9879312165183928,Physics_Rules,0.4337075471698113
2,32,Sulfates,1.0281402140616993,Physics_Rules,0.4337075471698113
2,33,Sulfates,0.8868512426429563,SVM_ML,0.3750377358490566
2,34,Sulfates,0.8887224314441883,SVM_ML,0.3750377358490566
