line,sample,idx,wavelength,depth,width,area,stability,asymmetry,curvature,confidence
0,3,2,0.3750377358490566,0.23637885,0.019556603773584924,0.002311383740800734,1.0,0.9063497,0.0024591659330011925,1.0
0,3,11,0.4337075471698113,0.09655404,0.2151226415094339,0.010385480164356947,1.0,-0.9999908,0.00028694355115140474,0.9655404
0,3,20,0.492377358490566,0.083140135,0.22164150943396227,0.009213652487071056,1.0,-0.50909287,3.776561197562891e-05,0.83140135
0,3,51,0.6944622641509434,0.061089158,0.18252830188679248,0.0055752501420254985,1.0,-0.999986,0.00020023279478771484,0.6108916
0,4,2,0.3750377358490566,0.21088779,0.019556603773584924,0.002062124472181754,1.0,0.90182656,0.0022019188798968778,1.0
0,4,11,0.4337075471698113,0.07275671,0.22164150943396227,0.008062953254524267,1.0,-0.9999879,0.0002567683673516859,0.7275671
0,4,51,0.6944622641509434,0.04570806,0.1760094339622642,0.004022524907341544,1.0,-0.99998105,0.0001366073679847584,0.4570806
0,5,2,0.3750377358490566,0.17621517,0.019556603773584924,0.0017230851470299503,1.0,0.92106634,0.0016819137361061306,1.0
0,5,11,0.4337075471698113,0.19378859,0.2151226415094339,0.02084415647753004,1.0,-0.9999954,0.0005998426991161462,1.0
0,5,51,0.6944622641509434,0.120164394,0.16949056603773593,0.010183365610410588,1.0,-0.9999929,0.0004230843891577734,1.0
0,6,2,0.3750377358490566,0.2239129,0.019556603773584924,0.002189487880974448,1.0,0.90078336,0.0023591253707784376,1.0
0,6,11,0.4337075471698113,0.118187904,0.2151226415094339,0.012712447089968984,1.0,-0.9999925,0.0004111336383551915,1.0
0,6,51,0.6944622641509434,0.07326949,0.16949056603773593,0.0062092433639292476,1.0,-0.9999884,0.0002738261049957237,0.73269486
0,7,2,0.3750377358490566,0.22678208,0.019556603773584924,0.002217543675089784,1.0,0.8968032,0.0024218109318264857,1.0
0,7,11,0.4337075471698113,0.08463961,0.2151226415094339,0.00910394811714595,1.0,-0.9999895,0.0002179515161025991,0.8463961
0,7,51,0.6944622641509434,0.05194497,0.16297169811320755,0.0042327800730489334,1.0,-0.9999834,0.0001492975071259327,0.5194497
0,8,2,0.3750377358490566,0.23176724,0.019556603773584924,0.002266290012676763,1.0,0.90276194,0.0024347926424069305,1.0
0,8,11,0.4337075471698113,0.11917281,0.2151226415094339,0.012818385003872633,1.0,-0.99999255,0.00037902681358181756,1.0
0,8,51,0.6944622641509434,0.07383025,0.16949056603773593,0.006256765171042031,1.0,-0.99998856,0.0002667206301504237,0.73830247
0,9,2,0.3750377358490566,0.24788308,0.019556603773584924,0.002423875602911106,1.0,0.8988841,0.002653731731710043,1.0
0,9,11,0.4337075471698113,0.06707078,0.2151226415094339,0.0072142219158276046,1.0,-0.9999866,0.0002005105276552461,0.6707078
0,9,51,0.6944622641509434,0.04309559,0.15645283018867928,0.003371213409135927,1.0,-0.9999813,0.00014309383977660164,0.4309559
0,10,2,0.3750377358490566,0.22977048,0.019556603773584924,0.002246765133626058,1.0,0.8875697,0.0025217815348234332,1.0
0,10,11,0.4337075471698113,0.08740008,0.2151226415094339,0.009400867906943803,1.0,-0.99998975,0.00024725564292813845,0.8740008
0,10,27,0.5380094339622641,0.071498096,0.22164150943396227,0.00792347295835333,1.0,-0.27119803,4.154146679535842e-06,0.71498096
0,10,51,0.6944622641509434,0.055523098,0.1760094339622642,0.00488629448273272,1.0,-0.9999849,0.00020929603475372538,0.555231
0,11,2,0.3750377358490566,0.3069197,0.019556603773584924,0.003001153422414135,1.0,0.8660036,0.0036344676193099915,1.0
0,11,11,0.4337075471698113,0.080260694,0.2151226415094339,0.008632946254228642,1.0,-0.99998885,0.00026978074465395304,0.80260694
0,11,13,0.4467452830188679,0.07455593,0.22164150943396227,0.008262344816383327,1.0,-0.9999884,0.0006739115783360172,0.74555933
0,11,51,0.6944622641509434,0.050501525,0.19556603773584913,0.0049381916112494935,1.0,-0.99998313,0.00018395298484355196,0.50501525
0,12,2,0.3750377358490566,0.21395087,0.019556603773584924,0.0020920762194777454,1.0,0.9047084,0.0022155498014992084,1.0
0,12,11,0.4337075471698113,0.16725773,0.2151226415094339,0.017990461935693355,1.0,-0.9999947,0.0005231182858921941,1.0
0,12,51,0.6944622641509434,0.10106069,0.1760094339622642,0.008893817288976797,1.0,-0.9999915,0.00031816429977525135,1.0
0,13,2,0.3750377358490566,0.31561273,0.019556603773584924,0.0030861565861499563,1.0,0.8775626,0.0036563493825302576,1.0
0,13,11,0.4337075471698113,0.10810894,0.2151226415094339,0.011628340128738921,1.0,-0.9999918,0.0003328001950774885,1.0
0,13,51,0.6944622641509434,0.0657624,0.16297169811320755,0.005358705051102728,1.0,-0.9999872,0.00022999921315579474,0.657624
0,14,2,0.3750377358490566,0.27986497,0.019556603773584924,0.0027366041335857164,1.0,0.8864213,0.0031382743536736792,1.0
0,14,11,0.4337075471698113,0.105858505,0.2151226415094339,0.011386280586415862,1.0,-0.99999154,0.0003604679971415485,1.0
0,14,51,0.6944622641509434,0.064516306,0.16949056603773593,0.0054674526048156475,1.0,-0.9999867,0.0002230998230774254,0.64516306
0,15,2,0.3750377358490566,0.23679972,0.019556603773584924,0.002315499119038854,1.0,0.8806618,0.0026523634439975887,1.0
0,15,11,0.4337075471698113,0.12962699,0.2151226415094339,0.013942850181516607,1.0,-0.99999315,0.00038329728593733403,1.0
0,15,51,0.6944622641509434,0.0791589,0.16297169811320755,0.006450330353570435,1.0,-0.9999893,0.0002645768364721795,0.791589
0,16,2,0.3750377358490566,0.29613125,0.019556603773584924,0.0028956607923192827,1.0,0.8771379,0.0034132503677153183,1.0
0,16,11,0.4337075471698113,0.16643423,0.2151226415094339,0.01790188542767515,1.0,-0.99999464,0.0005171718869307278,1.0
0,16,51,0.6944622641509434,0.1035347,0.16949056603773593,0.008774077325497037,1.0,-0.9999918,0.0003590993487984331,1.0
0,17,2,0.3750377358490566,0.3091253,0.019556603773584924,0.003022720545530322,1.0,0.8707502,0.0036276563609323248,1.0
0,17,11,0.4337075471698113,0.07154101,0.22164150943396227,0.007928228869190757,1.0,-0.9999876,0.00023896305491024247,0.7154101
0,17,51,0.6944622641509434,0.04561758,0.16949056603773593,0.003865874762805005,1.0,-0.9999815,0.00015489083876656865,0.4561758
0,18,2,0.3750377358490566,0.26360196,0.019556603773584924,0.0025775795306237264,1.0,0.8665027,0.0030768875929889023,1.0
0,18,11,0.4337075471698113,0.1654402,0.2151226415094339,0.017794966607161282,1.0,-0.99999464,0.0005140593394832552,1.0
0,18,51,0.6944622641509434,0.10423386,0.1760094339622642,0.009173071434475344,1.0,-0.9999919,0.00034047756188001734,1.0
0,19,2,0.3750377358490566,0.27062827,0.019556603773584924,0.002646284957258209,1.0,0.87901103,0.003079977842540037,1.0
0,19,11,0.4337075471698113,0.19587559,0.2151226415094339,0.021068636634720937,1.0,-0.9999954,0.000577345857403655,1.0
0,19,51,0.6944622641509434,0.122636855,0.1760094339622642,0.010792621684805406,1.0,-0.99999297,0.0004064470367218674,1.0
0,20,2,0.3750377358490566,0.30402374,0.019556603773584924,0.0029728359366362977,1.0,0.8738279,0.0035385083486253405,1.0
0,20,11,0.4337075471698113,0.16671723,0.2151226415094339,0.017932325588363517,1.0,-0.99999464,0.0005376255571164193,1.0
0,20,51,0.6944622641509434,0.10402787,0.1760094339622642,0.009154943021400923,1.0,-0.9999918,0.00034949099476237294,1.0
0,21,2,0.3750377358490566,0.24991369,0.019556603773584924,0.002443731530657357,1.0,0.8836715,0.0027914290003718195,1.0
0,21,11,0.4337075471698113,0.24139899,0.2151226415094339,0.025965194209847803,1.0,-0.99999624,0.0007803998344607285,1.0
0,21,51,0.6944622641509434,0.15412718,0.1760094339622642,0.013563918905719275,1.0,-0.9999944,0.0005409932918831677,1.0
0,22,11,0.4337075471698113,0.2531066,0.22164150943396227,0.02804946378042113,1.0,-0.9999966,0.0013743198583641147,1.0
0,22,51,0.6944622641509434,0.16428834,0.18252830188679248,0.014993636042441964,1.0,-0.99999475,0.0005692454971018002,1.0
0,23,2,0.3750377358490566,0.26006085,0.019556603773584924,0.002542953468999775,1.0,0.88136214,0.002932225776651593,1.0
0,23,11,0.4337075471698113,0.21713412,0.22164150943396227,0.02406296684044712,1.0,-0.9999959,0.0006714658898341022,1.0
0,23,51,0.6944622641509434,0.13916355,0.18252830188679248,0.012700643572042574,1.0,-0.9999938,0.0004753873617980791,1.0
0,24,2,0.3750377358490566,0.23798251,0.019556603773584924,0.002327064841423397,1.0,0.87368137,0.0027108798944709845,1.0
0,24,11,0.4337075471698113,0.19338226,0.2151226415094339,0.020800451638563616,1.0,-0.99999535,0.0006249911541837343,1.0
0,24,51,0.6944622641509434,0.12140691,0.1760094339622642,0.010684381000838194,1.0,-0.99999297,0.0004016075922409552,1.0
0,25,2,0.3750377358490566,0.26907265,0.019556603773584924,0.002631073619397184,1.0,0.8767653,0.003076538470791473,1.0
0,25,11,0.4337075471698113,0.21464151,0.2151226415094339,0.02308712445930489,1.0,-0.9999958,0.0006417613731400681,1.0
0,25,51,0.6944622641509434,0.13357496,0.1760094339622642,0.01175522678078346,1.0,-0.9999935,0.00043920208120751876,1.0
0,26,2,0.3750377358490566,0.24698728,0.019556603773584924,0.0024151162176199704,1.0,0.88283956,0.0027615835884121764,1.0
0,26,11,0.4337075471698113,0.23540968,0.22164150943396227,0.026088278075996434,1.0,-0.9999961,0.0007127575079556056,1.0
0,26,51,0.6944622641509434,0.15129316,0.18252830188679248,0.013807641656893606,1.0,-0.9999943,0.000522871625016377,1.0
0,27,2,0.3750377358490566,0.24918205,0.019556603773584924,0.002436577265273852,1.0,0.89275354,0.0027160677915296946,1.0
0,27,11,0.4337075471698113,0.2768426,0.22164150943396227,0.030679905221147358,1.0,-0.9999967,0.0008678661339100878,1.0
0,27,51,0.6944622641509434,0.17980993,0.18252830188679248,0.016410200404671005,1.0,-0.99999523,0.0006068526924420824,1.0
0,28,2,0.3750377358490566,0.30392754,0.019556603773584924,0.002971895245448601,1.0,0.8694532,0.003570216019906252,1.0
0,28,11,0.4337075471698113,0.18197852,0.2151226415094339,0.01957385036152488,1.0,-0.9999951,0.0005706501460199612,1.0
0,28,51,0.6944622641509434,0.113143206,0.1760094339622642,0.00995713579092386,1.0,-0.9999924,0.00038334338240498937,1.0
0,29,11,0.4337075471698113,0.22111148,0.22164150943396227,0.024503740693600673,1.0,-0.99999607,0.0011498169057979192,1.0
0,29,51,0.6944622641509434,0.14308465,0.1760094339622642,0.01259212371144655,1.0,-0.99999404,0.0004928098554969648,1.0
0,30,2,0.3750377358490566,0.27135962,0.019556603773584924,0.002653436308480661,1.0,0.8774521,0.0031001615474174782,1.0
0,30,11,0.4337075471698113,0.2262209,0.22164150943396227,0.025069971511386475,1.0,-0.99999595,0.0007264470618500502,1.0
0,30,51,0.6944622641509434,0.14485496,0.18252830188679248,0.013220065192231593,1.0,-0.9999941,0.00047888373072146266,1.0
0,31,2,0.3750377358490566,0.25524127,0.019556603773584924,0.0024958262392934787,1.0,0.87311584,0.0029288411489972743,1.0
0,31,11,0.4337075471698113,0.21961594,0.2151226415094339,0.023622180164984928,1.0,-0.99999595,0.0006757422974630704,1.0
0,31,51,0.6944622641509434,0.13809729,0.16949056603773593,0.011703093605221449,1.0,-0.99999374,0.0004850921618628336,1.0
0,32,2,0.3750377358490566,0.21167737,0.019556603773584924,0.0020698452504738342,1.0,0.89467406,0.002259396738051188,1.0
0,32,11,0.4337075471698113,0.2849254,0.22164150943396227,0.03157564800021784,1.0,-0.9999968,0.0008889686898166814,1.0
0,32,51,0.6944622641509434,0.18602109,0.18252830188679248,0.016977056795696045,1.0,-0.99999535,0.0006481152522009562,1.0
