line,sample,Olivine,Low-Ca Pyroxene,High-Ca Pyroxene,Nontronite,Montmorillonite,Kaolinite,Gypsum,Kieserite,Carbonates,Hematite,Magnetite,Ilmenite,Hydrated silica,Sulfates
0,3,0.007650903778166814,0.007528491019531649,0.011288301724422882,0.09007773938427065,0.49612884119501227,0.014708282626659594,0.011065878141690558,0.010241784454277269,0.08439104637638617,0.004807294670921888,0.16347713578204898,0.16347713578204898,0.011353336382867589,0.7894344978746302
0,4,0.007087627099457916,0.006974226642390611,0.010457231658982793,0.08344601438326224,0.4596027242835036,0.015877197479430324,0.010251183398771901,0.009487761335084399,0.0781779884561819,0.004453370866058575,0.17646919317953824,0.17646919317953824,0.010517478320156612,0.7313145613398121
0,5,0.010152720316352868,0.00999027904959392,0.014979533605130437,0.11953281876418367,0.6583610919148296,0.024440561121965403,0.014684378353840146,0.013590809153995412,0.11198659869554703,0.006379261808447134,0.28009605488260075,0.28009605488260075,0.015065834350402227,1.047576586686857
0,6,0.007370060622891466,0.0072521412922718345,0.010873939922744751,0.08677123896520364,0.4779173470729808,0.01526875569640921,0.010659680884044526,0.009865837357674448,0.08129328846065245,0.0046308324067416955,0.16970658720417262,0.16970658720417262,0.010936587341824103,0.7604565781811412
0,7,0.00743377252250156,0.007314833815659819,0.010967941777569719,0.0875213495475812,0.4820487950483292,0.01513789328070357,0.010751830535602424,0.009951124476934957,0.0819960438514688,0.004670864523776546,0.16825209972632785,0.16825209972632785,0.011031130764253378,0.7670304906149729
0,8,0.00754578366120599,0.007425052801059981,0.011133205329020988,0.0888401101088035,0.4893122449697549,0.014913183331401,0.010913837750351651,0.010101066754651564,0.0832315498093469,0.004741244516231069,0.16575453153117167,0.16575453153117167,0.011197346439317604,0.7785880084721224
0,9,0.007919566518352402,0.007792855215633792,0.011684692289676042,0.09324083396686905,0.5135504867711755,0.014209320025013999,0.011454458266379912,0.010601426394060691,0.08735445180193982,0.0049761036112270915,0.1579313505228283,0.1579313505228283,0.011752010650811488,0.817155619659127
0,10,0.007500717418722412,0.007380707608431909,0.011066713662481876,0.08830952374107941,0.4863898892182428,0.015002785578585703,0.010848656229045597,0.01004073940574435,0.08273445986158223,0.004712928030543716,0.16675042745601884,0.16675042745601884,0.011130471698076171,0.7739379896589665
0,11,0.009454079408508294,0.0093028162408739,0.013948744355463005,0.11130738612972811,0.5455980558383043,0.011902973336291338,0.01367389967378278,0.012655582441367863,0.10000489656185535,0.005940284556798318,0.1322971578462886,0.1322971578462886,0.012234771406797492,0.7619815286287565
0,12,0.007153057171803753,0.007038609848132745,0.010553768541409459,0.08421635383276385,0.4638455885141168,0.015731966404831432,0.010345818127997916,0.009575348464294703,0.07889969564658014,0.00449448256308498,0.17485500335842744,0.17485500335842744,0.010614571375099675,0.7380657580357683
