line,sample,mineral_1,sim_1,mineral_2,mineral_3
1,37,Sulfates,1.2551929853180706,Montmorillonite,Ilmenite
1,38,Sulfates,0.7548981917166545,Montmorillonite,Ilmenite
1,39,Sulfates,0.7835951476426608,Montmorillonite,Ilmenite
1,40,Sulfates,0.7530283788067968,Montmorillonite,Ilmenite
1,41,Sulfates,0.8097716089602844,Montmorillonite,Ilmenite
1,42,Sulfates,0.7174654511363912,Montmorillonite,Ilmenite
1,43,Sulfates,1.2209142873374283,Montmorillonite,Ilmenite
1,44,Sulfates,0.7007921959615273,Montmorillonite,Ilmenite
1,45,Sulfates,0.7318604646007857,Montmorillonite,Ilmenite
1,46,Sulfates,0.842121795198108,Montmorillonite,Ilmenite
1,47,Sulfates,0.778894497663136,Montmorillonite,Ilmenite
1,48,Sulfates,1.0240856277016415,Montmorillonite,Ilmenite
1,49,Sulfates,0.7377316670203913,Montmorillonite,Ilmenite
1,50,Sulfates,0.7846400155302171,Montmorillonite,Ilmenite
1,51,Sulfates,0.8041374519857012,Montmorillonite,Ilmenite
1,52,Sulfates,0.6692109913976927,Montmorillonite,Ilmenite
1,53,Sulfates,0.7272230240962467,Montmorillonite,Ilmenite
1,54,Sulfates,0.7918900003016688,Montmorillonite,Ilmenite
1,55,Sulfates,0.8012933210933781,Montmorillonite,Ilmenite
1,56,Sulfates,0.7148301154266163,Montmorillonite,Ilmenite
1,57,Sulfates,0.8051615283784646,Montmorillonite,Ilmenite
1,58,Sulfates,0.6419664691967701,Montmorillonite,Ilmenite
1,59,Sulfates,0.7436511746867708,Montmorillonite,Ilmenite
1,60,Sulfates,0.6140160412747622,Montmorillonite,Ilmenite
1,61,Sulfates,0.7044357823427153,Montmorillonite,Ilmenite
2,3,Sulfates,0.7479462698630244,Montmorillonite,Ilmenite
2,4,Sulfates,1.1555595365813807,Montmorillonite,Ilmenite
2,5,Sulfates,0.805614148277814,Montmorillonite,Ilmenite
2,6,Sulfates,0.706708668409725,Montmorillonite,Ilmenite
2,7,Sulfates,0.7651840588937641,Montmorillonite,Ilmenite
2,8,Sulfates,0.7476822324233193,Montmorillonite,Ilmenite
2,9,Sulfates,0.8062285020742455,Montmorillonite,Ilmenite
2,10,Sulfates,0.8008940088247046,Montmorillonite,Ilmenite
2,11,Sulfates,0.7691760713551954,Montmorillonite,Ilmenite
2,12,Sulfates,0.8516815716267502,Montmorillonite,Ilmenite
2,13,Sulfates,0.8013316567543731,Montmorillonite,Ilmenite
2,14,Sulfates,0.8279502058777971,Montmorillonite,Ilmenite
2,15,Sulfates,0.7366489639723359,Montmorillonite,Ilmenite
2,16,Sulfates,0.6798234653920621,Montmorillonite,Nontronite
2,17,Sulfates,0.7619839974529088,Montmorillonite,Ilmenite
2,18,Sulfates,0.7472793776531953,Montmorillonite,Ilmenite
2,19,Sulfates,0.7258194008709298,Montmorillonite,Ilmenite
2,20,Sulfates,0.8167580566797932,Montmorillonite,Ilmenite
2,21,Sulfates,0.6803794891248388,Montmorillonite,Nontronite
2,22,Sulfates,0.7046104625710634,Montmorillonite,Ilmenite
2,23,Sulfates,0.7250073804603433,Montmorillonite,Ilmenite
2,24,Sulfates,0.7252502405992957,Montmorillonite,Ilmenite
2,25,Sulfates,0.7796833804292316,Montmorillonite,Ilmenite
2,26,Sulfates,0.809196155867769,Montmorillonite,Ilmenite
2,27,Sulfates,1.241990177681864,Montmorillonite,Ilmenite
2,28,Sulfates,0.845369081426121,Montmorillonite,Ilmenite
2,29,Sulfates,0.8615229496147953,Montmorillonite,Ilmenite
2,30,Sulfates,1.2845382496956688,Montmorillonite,Ilmenite
2,31,Sulfates,1.1758624330367855,Montmorillonite,Ilmenite
